"VNR";"Voimassa";"SaatavuushairioAlkupaiva";"SaatavuushairioLoppupaiva";"Ilmoituspaiva";"Muokkauspaiva";"Yritys"
"460528";"K";"2022-11-25";"2023-01-12";"2022-09-12";"2022-11-15";"Sandoz A/S"
"462238";"K";"2023-01-16";"2023-04-21";"2022-11-15";"2022-11-15";"Sandoz A/S"
"402295";"K";"2023-01-25";"2023-05-02";"2022-10-17";"2022-11-15";"Sandoz A/S"
"061920";"K";"2022-10-04";"2023-02-07";"2022-03-29";"2022-11-15";"Sandoz A/S"
"115622";"K";"2022-11-09";"2023-04-04";"2022-10-17";"2022-11-15";"Sandoz A/S"
"392390";"K";"2022-09-23";"2022-11-22";"2022-09-16";"2022-11-15";"Santen Oy"
"110046";"K";"2022-11-25";"2022-12-16";"2022-11-15";"2022-11-15";"Fresenius Kabi AB, sivuliike Suomessa"
"107799";"K";"2022-11-28";"2022-12-09";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"106726";"K";"2022-12-06";"2022-12-31";"2022-07-12";"2022-11-15";"Teva Finland Oy"
"161495";"E";"2022-12-15";"2022-11-15";"2022-10-18";"2022-11-15";"Teva Finland Oy"
"163064";"K";"2022-10-31";"2022-12-19";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"166354";"K";"2022-11-01";"2022-12-30";"2022-08-02";"2022-11-15";"Sandoz A/S"
"100107";"K";"2022-04-19";"2023-02-28";"2022-02-22";"2022-11-15";"Teva Finland Oy"
"174746";"K";"2022-11-01";"2023-01-02";"2022-10-18";"2022-11-15";"Teva Finland Oy"
"570608";"K";"2022-10-19";"2022-12-15";"2022-10-19";"2022-11-15";"Abacus Medicine A/S"
"181423";"K";"2022-10-17";"2023-01-23";"2022-10-17";"2022-11-15";"Teva Finland Oy"
"139766";"K";"2022-11-18";"2022-12-19";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"083993";"K";"2022-11-09";"2022-12-13";"2022-10-24";"2022-11-15";"Sandoz A/S"
"081250";"K";"2022-11-09";"2023-01-09";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"117374";"K";"2022-07-08";"2023-02-28";"2022-03-22";"2022-11-15";"Teva Finland Oy"
"081183";"K";"2022-10-17";"2022-12-05";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"080652";"K";"2022-11-09";"2023-04-04";"2022-06-29";"2022-11-15";"Sandoz A/S"
"080640";"K";"2022-11-09";"2023-04-04";"2022-03-29";"2022-11-15";"Sandoz A/S"
"079745";"K";"2022-09-07";"2022-11-25";"2022-08-09";"2022-11-15";"Teva Finland Oy"
"371615";"E";"2022-09-28";"2022-11-11";"2022-08-09";"2022-11-15";"Teva Finland Oy"
"375740";"K";"2023-02-02";"2023-03-13";"2022-01-19";"2022-11-15";"Sandoz A/S"
"378756";"K";"2022-05-19";"2023-03-31";"2022-04-25";"2022-11-15";"Teva Finland Oy"
"117382";"K";"2022-07-12";"2023-02-28";"2022-03-22";"2022-11-15";"Teva Finland Oy"
"562802";"K";"2022-12-03";"2023-03-01";"2022-10-17";"2022-11-15";"Sandoz A/S"
"070528";"K";"2022-10-14";"2022-12-05";"2022-09-06";"2022-11-15";"Teva Finland Oy"
"387675";"K";"2022-07-18";"2023-03-13";"2022-04-20";"2022-11-15";"Boehringer Ingelheim Finland Ky"
"388419";"K";"2022-11-13";"2023-01-31";"2022-10-31";"2022-11-15";"Sandoz A/S"
"389623";"K";"2022-10-17";"2023-01-23";"2022-10-17";"2022-11-15";"Teva Finland Oy"
"115593";"K";"2022-10-19";"2022-11-28";"2022-10-04";"2022-11-15";"Teva Finland Oy"
"156440";"K";"2022-11-25";"2023-01-27";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"057490";"K";"2022-12-20";"2023-01-31";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"469846";"K";"2022-11-01";"2022-12-19";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"478508";"K";"2023-01-10";"2023-02-27";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"008050";"E";"2022-08-11";"2022-11-14";"2022-07-26";"2022-11-15";"Teva Finland Oy"
"513595";"K";"2022-11-05";"2022-12-12";"2022-08-05";"2022-11-15";"Sandoz A/S"
"516707";"K";"2022-11-01";"2022-11-24";"2022-10-19";"2022-11-15";"Abacus Medicine A/S"
"509060";"K";"2022-03-10";"2023-03-31";"2022-01-25";"2022-11-15";"Teva Finland Oy"
"477386";"K";"2022-04-29";"2023-05-06";"2022-04-06";"2022-11-15";"Teva Finland Oy"
"012243";"K";"2022-10-22";"2022-11-28";"2022-10-11";"2022-11-15";"GlaxoSmithKline Oy"
"517693";"K";"2022-10-17";"2023-01-23";"2022-10-04";"2022-11-15";"Teva Finland Oy"
"518107";"K";"2023-01-17";"2023-01-20";"2022-11-15";"2022-11-15";"Sandoz A/S"
"013141";"K";"2022-09-28";"2022-12-05";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"497499";"K";"2022-10-28";"2022-11-28";"2022-10-28";"2022-11-15";"McNeil, a division of Janssen-Cilag Oy"
"597734";"K";"2022-11-30";"2023-01-09";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"013152";"K";"2022-10-19";"2022-12-05";"2022-10-18";"2022-11-15";"Teva Finland Oy"
"491944";"E";"2022-08-22";"2022-11-14";"2022-05-31";"2022-11-15";"Teva Finland Oy"
"018702";"K";"2022-10-28";"2023-01-07";"2022-09-20";"2022-11-15";"Teva Finland Oy"
"520369";"K";"2023-01-11";"2023-05-02";"2022-11-15";"2022-11-15";"Sandoz A/S"
"520647";"K";"2022-11-21";"2022-12-30";"2022-11-01";"2022-11-15";"Teva Finland Oy"
"595155";"K";"2022-06-07";"2023-02-05";"2022-05-03";"2022-11-15";"Teva Finland Oy"
"499175";"K";"2022-09-19";"2022-12-21";"2022-09-16";"2022-11-15";"Teva Finland Oy"
"525603";"K";"2022-09-15";"2022-12-05";"2022-07-26";"2022-11-15";"Teva Finland Oy"
"000616";"K";"2022-12-06";"2022-12-13";"2022-10-10";"2022-11-15";"Sandoz A/S"
"498228";"E";"2022-11-02";"2022-11-10";"2022-08-30";"2022-11-15";"Teva Finland Oy"
"000599";"K";"2022-08-01";"2022-12-13";"2022-06-10";"2022-11-15";"Sandoz A/S"
"545463";"K";"2022-12-02";"2023-02-27";"2022-10-18";"2022-11-15";"Teva Finland Oy"
"015910";"K";"2023-01-10";"2023-03-27";"2022-11-15";"2022-11-15";"Teva Finland Oy"
"073783";"K";"2022-10-28";"2022-12-09";"2022-11-11";"2022-11-14";"Cheplapharm Arzneimittel GmbH"
"010215";"E";"2022-11-09";"2022-11-15";"2022-11-09";"2022-11-14";"Santen Oy"
"583609";"K";"2022-11-16";"2022-12-13";"2022-11-01";"2022-11-14";"OY GE HEALTHCARE BIO-SCIENCES AB"
"085488";"K";"2022-09-21";"2022-12-30";"2022-09-20";"2022-11-14";"Baxter Oy"
"183582";"E";"2022-09-23";"2022-11-14";"2022-09-23";"2022-11-14";"Orion Oyj"
"550236";"K";"2022-11-11";"2022-11-22";"2022-11-09";"2022-11-14";"Santen Oy"
"122638";"K";"2022-08-15";"2023-01-31";"2022-08-08";"2022-11-14";"Bavarian Nordic GmbH"
"170636";"K";"2022-10-19";"2023-01-31";"2022-10-24";"2022-11-14";"Bavarian Nordic GmbH"
"106004";"E";"2022-09-06";"2022-11-11";"2022-09-06";"2022-11-14";"Biocodex Oy"
"580100";"K";"2022-11-09";"2022-11-25";"2022-11-11";"2022-11-11";"Orion Oyj"
"520091";"K";"2022-09-15";"2022-11-30";"2022-09-15";"2022-11-11";"Orifarm Healthcare Oy"
"403190";"K";"2022-10-27";"2022-11-30";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"151713";"K";"2022-10-27";"2022-11-30";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"155398";"K";"2022-10-24";"2022-11-18";"2022-09-23";"2022-11-11";"Orion Oyj"
"519367";"K";"2022-11-15";"2022-12-22";"2022-11-11";"2022-11-11";"Bracco Imaging Scandinavia AB"
"400556";"K";"2022-11-12";"2023-02-28";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"063792";"K";"2022-10-28";"2023-02-17";"2022-10-07";"2022-11-11";"Orion Oyj"
"398222";"K";"2022-11-27";"2023-01-15";"2022-11-11";"2022-11-11";"Organon Finland Oy"
"067046";"K";"2022-11-11";"2022-11-23";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"186791";"K";"2022-12-27";"2023-01-27";"2022-11-11";"2022-11-11";"Orion Oyj"
"541033";"K";"2022-10-25";"2022-11-18";"2022-10-28";"2022-11-11";"Orion Oyj"
"104055";"K";"2022-11-09";"2022-11-25";"2022-11-11";"2022-11-11";"Orion Oyj"
"539452";"K";"2022-11-07";"2023-01-15";"2022-10-31";"2022-11-11";"Organon Finland Oy"
"013031";"K";"2022-09-11";"2022-11-30";"2022-07-19";"2022-11-11";"Orifarm Healthcare Oy"
"506963";"K";"2022-11-10";"2023-04-01";"2022-11-01";"2022-11-11";"OY GE HEALTHCARE BIO-SCIENCES AB"
"099330";"K";"2022-07-14";"2022-11-18";"2022-06-03";"2022-11-11";"Orion Oyj"
"508656";"K";"2022-12-01";"2022-12-21";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"174609";"K";"2022-11-11";"2022-11-18";"2022-11-11";"2022-11-11";"Teva Finland Oy"
"397604";"K";"2022-12-11";"2023-01-15";"2022-11-11";"2022-11-11";"Organon Finland Oy"
"407425";"K";"2022-11-14";"2023-01-23";"2022-11-10";"2022-11-11";"Propharma Group AB"
"074420";"K";"2022-01-14";"2022-11-18";"2022-01-14";"2022-11-11";"Orion Oyj"
"449216";"K";"2022-10-17";"2022-11-18";"2022-10-14";"2022-11-11";"Orion Oyj"
"421006";"K";"2022-11-21";"2022-12-08";"2022-11-11";"2022-11-11";"Krka Finland Oy"
"036979";"K";"2022-11-21";"2023-01-31";"2022-11-11";"2022-11-11";"B. Braun Medical Oy"
"456913";"K";"2022-06-06";"2022-11-30";"2022-06-06";"2022-11-11";"Orifarm Healthcare Oy"
"482026";"K";"2022-08-23";"2023-02-10";"2022-07-01";"2022-11-11";"Orion Oyj"
"481447";"K";"2022-11-11";"2023-03-15";"2022-11-11";"2022-11-11";"Avansor Pharma Oy"
"020566";"K";"2023-01-11";"2023-04-28";"2022-11-11";"2022-11-11";"Vet Medic Animal Health Oy"
"029570";"K";"2022-12-02";"2023-01-27";"2022-11-11";"2022-11-11";"Orion Oyj"
"434425";"K";"2022-11-30";"2022-12-13";"2022-10-14";"2022-11-11";"Chiesi Pharma AB"
"567809";"E";"2022-09-12";"2022-11-04";"2022-08-12";"2022-11-10";"Accord Healthcare Oy"
"088207";"K";"2022-08-25";"2022-12-19";"2022-08-05";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"044995";"K";"2022-09-05";"2023-02-28";"2022-08-26";"2022-11-10";"Accord Healthcare Oy"
"416446";"K";"2022-11-23";"2022-12-18";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"040706";"K";"2022-11-10";"2022-12-31";"2022-11-10";"2022-11-10";"Stada Nordic ApS, Suomen sivuliike"
"011216";"K";"2022-11-24";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"179333";"K";"2022-11-10";"2022-11-24";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"172143";"K";"2022-11-11";"2023-02-28";"2022-11-10";"2022-11-10";"Accord Healthcare Oy"
"011271";"K";"2022-11-21";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"011282";"K";"2022-11-14";"2022-12-11";"2022-11-03";"2022-11-10";"Organon Finland Oy"
"040718";"K";"2022-11-10";"2022-12-31";"2022-11-10";"2022-11-10";"Stada Nordic ApS, Suomen sivuliike"
"048297";"K";"2022-09-27";"2022-12-18";"2022-09-23";"2022-11-10";"Organon Finland Oy"
"127383";"K";"2022-11-15";"2023-01-10";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"114440";"K";"2022-11-21";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"408256";"K";"2022-11-10";"2022-12-08";"2022-11-10";"2022-11-10";"2care4 ApS, filial"
"406469";"K";"2023-01-15";"2023-03-31";"2022-11-03";"2022-11-10";"Accord Healthcare Oy"
"541169";"K";"2022-11-10";"2022-11-25";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"128078";"K";"2022-09-08";"2023-01-16";"2022-09-05";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"112601";"E";"2022-11-03";"2022-11-03";"2022-11-03";"2022-11-10";"Accord Healthcare Oy"
"079061";"K";"2022-07-25";"2022-12-18";"2022-06-16";"2022-11-10";"Organon Finland Oy"
"454804";"E";"2022-01-01";"2022-11-09";"2021-12-17";"2022-11-10";"Accord Healthcare Oy"
"549278";"K";"2022-11-30";"2023-03-15";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"448635";"E";"2022-10-26";"2022-11-15";"2022-10-26";"2022-11-09";"Viatris Oy"
"583708";"K";"2022-11-09";"2022-11-22";"2022-11-09";"2022-11-09";"OY GE HEALTHCARE BIO-SCIENCES AB"
"133315";"K";"2023-01-05";"2023-01-10";"2022-10-31";"2022-11-09";"Sandoz A/S"
"137505";"K";"2022-11-28";"2023-01-23";"2022-11-09";"2022-11-09";"Nordic Drugs"
"566042";"E";"2022-08-30";"2022-11-14";"2022-06-15";"2022-11-09";"Sanofy Oy"
"525649";"E";"2022-11-02";"2022-11-09";"2022-11-04";"2022-11-09";"Orion Oyj"
"157833";"K";"2023-01-09";"2023-01-13";"2022-11-09";"2022-11-09";"Sandoz A/S"
"005790";"E";"2022-11-09";"2022-11-10";"2022-11-09";"2022-11-09";"Oy H. Lundbeck Ab"
"573568";"E";"2022-11-03";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"583518";"K";"2022-11-09";"2022-12-23";"2022-11-09";"2022-11-09";"OY GE HEALTHCARE BIO-SCIENCES AB"
"145158";"E";"2022-10-25";"2022-11-07";"2022-10-25";"2022-11-09";"LEO Pharma Oy"
"159554";"E";"2022-10-31";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"599361";"E";"2022-08-30";"2022-11-09";"2022-07-22";"2022-11-09";"Orion Oyj"
"180996";"E";"2022-10-26";"2022-11-09";"2022-10-07";"2022-11-09";"Orion Oyj"
"180419";"E";"2022-10-31";"2022-11-07";"2022-10-25";"2022-11-09";"LEO Pharma Oy"
"573576";"E";"2022-10-13";"2022-11-07";"2022-10-11";"2022-11-09";"LEO Pharma Oy"
"096716";"E";"2022-10-31";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"161950";"E";"2022-10-01";"2022-11-09";"2022-09-22";"2022-11-09";"Novartis Finland Oy"
"542632";"E";"2022-11-04";"2022-11-07";"2022-11-04";"2022-11-09";"LEO Pharma Oy"
"599317";"K";"2023-01-14";"2023-01-26";"2022-11-09";"2022-11-09";"Sandoz A/S"
"409827";"K";"2023-01-27";"2023-04-17";"2022-11-09";"2022-11-09";"Sandoz A/S"
"373469";"K";"2022-11-25";"2022-12-15";"2022-11-09";"2022-11-09";"Nordic Drugs"
"493044";"E";"2022-10-11";"2022-11-17";"2022-08-25";"2022-11-09";"Sandoz A/S"
"055764";"E";"2022-11-04";"2022-11-07";"2022-11-04";"2022-11-09";"LEO Pharma Oy"
"543571";"K";"2022-11-01";"2023-01-20";"2019-09-15";"2022-11-09";"Sandoz A/S"
"585786";"K";"2022-11-09";"2022-11-18";"2022-11-09";"2022-11-09";"Recordati AB"
"416330";"K";"2022-11-14";"2022-11-25";"2022-10-07";"2022-11-09";"MSD Finland Oy"
"074051";"K";"2022-11-09";"2022-11-30";"2022-11-09";"2022-11-09";"Novartis Finland Oy"
"063219";"E";"2022-10-24";"2022-11-03";"2022-09-21";"2022-11-09";"Pfizer"
"071488";"E";"2022-03-01";"2022-11-09";"2022-03-04";"2022-11-09";"Orion Oyj"
"479142";"E";"2022-09-20";"2022-11-14";"2022-06-29";"2022-11-09";"Sanofy Oy"
"559948";"E";"2022-10-13";"2022-11-09";"2022-09-29";"2022-11-08";"Pfizer"
"013194";"K";"2022-11-08";"2022-12-20";"2022-11-08";"2022-11-08";"Orifarm Healthcare Oy"
"008970";"E";"2022-10-04";"2022-11-08";"2022-11-08";"2022-11-08";"Orifarm Healthcare Oy"
"022286";"E";"2022-09-24";"2022-11-02";"2022-09-15";"2022-11-08";"Orifarm Healthcare Oy"
"568224";"E";"2022-11-04";"2022-11-07";"2022-11-08";"2022-11-08";"LEO Pharma Oy"
"190221";"K";"2022-03-03";"2023-01-31";"2022-02-04";"2022-11-08";"Orifarm Oy (rinnakkaismaahantuoja)"
"137331";"K";"2022-09-26";"2022-11-21";"2022-08-18";"2022-11-07";"Nordic Drugs"
"545394";"K";"2022-08-31";"2022-11-23";"2022-08-01";"2022-11-07";"Krka Finland Oy"
"101845";"K";"2022-10-12";"2022-12-19";"2022-09-28";"2022-11-07";"Berlin-Chemie / A. Menarini Suomi Oy"
"076282";"K";"2022-09-01";"2023-01-25";"2022-08-02";"2022-11-07";"Krka Finland Oy"
"040092";"E";"2022-11-07";"2022-11-16";"2022-11-07";"2022-11-07";"Krka Finland Oy"
"161754";"K";"2022-10-14";"2022-12-08";"2022-09-27";"2022-11-07";"Krka Finland Oy"
"199099";"K";"2022-11-24";"2023-01-11";"2022-11-07";"2022-11-07";"Krka Finland Oy"
"188604";"K";"2022-09-26";"2022-12-21";"2022-07-25";"2022-11-07";"Krka Finland Oy"
"423242";"K";"2022-11-07";"2022-12-31";"2022-09-15";"2022-11-07";"Abacus Medicine A/S"
"168329";"E";"2022-08-01";"2022-11-07";"2022-05-30";"2022-11-07";"Berlin-Chemie / A. Menarini Suomi Oy"
"443922";"K";"2022-11-02";"2022-11-23";"2022-11-02";"2022-11-07";"Krka Finland Oy"
"082252";"K";"2022-11-08";"2022-12-07";"2022-11-07";"2022-11-07";"Oy Verman Ab"
"546862";"K";"2022-08-01";"2022-12-31";"2022-07-26";"2022-11-07";"Abacus Medicine A/S"
"404491";"K";"2023-01-02";"2023-01-25";"2022-05-23";"2022-11-04";"Boehringer Ingelheim Finland Ky"
"578345";"K";"2022-10-28";"2023-02-13";"2022-09-30";"2022-11-04";"Orion Oyj"
"373451";"K";"2022-11-08";"2023-02-24";"2022-11-04";"2022-11-04";"Orion Oyj"
"537324";"K";"2022-11-01";"2022-12-05";"2022-10-28";"2022-11-04";"Orion Oyj"
"035005";"E";"2022-08-17";"2022-11-11";"2022-05-30";"2022-11-04";"Orion Oyj"
"370079";"K";"2022-11-02";"2022-12-19";"2022-11-04";"2022-11-04";"Orion Oyj"
"005835";"K";"2022-11-28";"2023-02-20";"2022-11-28";"2022-11-04";"Orion Oyj"
"476913";"K";"2022-11-04";"2023-03-06";"2022-11-01";"2022-11-04";"Teva Finland Oy"
"145613";"K";"2022-12-05";"2023-02-27";"2022-10-10";"2022-11-04";"Teva Finland Oy"
"041405";"E";"2022-07-07";"2022-11-11";"2022-05-20";"2022-11-04";"Orion Oyj"
"586354";"K";"2022-11-08";"2022-12-05";"2022-11-04";"2022-11-04";"Orion Oyj"
"378197";"K";"2022-05-31";"2023-01-02";"2022-04-08";"2022-11-04";"Orion Oyj"
"462488";"K";"2022-10-13";"2022-11-28";"2022-09-30";"2022-11-04";"Orion Oyj"
"402570";"K";"2022-09-29";"2023-02-27";"2022-08-12";"2022-11-04";"Orion Oyj"
"006015";"K";"2022-11-28";"2023-02-20";"2022-11-28";"2022-11-04";"Orion Oyj"
"097622";"E";"2022-11-04";"2022-11-11";"2022-11-04";"2022-11-04";"LEO Pharma Oy"
"384490";"K";"2022-12-15";"2022-12-31";"2022-11-04";"2022-11-04";"Orion Oyj"
"096682";"E";"2022-10-27";"2022-11-03";"2022-10-27";"2022-11-04";"LEO Pharma Oy"
"173414";"K";"2022-12-06";"2022-12-26";"2022-11-04";"2022-11-04";"Orion Oyj"
"067329";"K";"2022-11-13";"2023-04-30";"2022-11-03";"2022-11-04";"Accord Healthcare Oy"
"533694";"E";"2022-10-10";"2022-11-16";"2022-10-05";"2022-11-04";"SwanMedica Oy"
"014026";"K";"2022-08-01";"2022-12-09";"2022-05-24";"2022-11-04";"McNeil a division of Janssen-Cilag Oy"
"544902";"K";"2022-12-16";"2023-02-10";"2022-11-04";"2022-11-04";"Orion Oyj"
"446875";"K";"2022-04-09";"2022-11-30";"2022-03-31";"2022-11-04";"Orifarm Oy (rinnakkaisjakelija)"
"124714";"E";"2022-10-10";"2022-11-16";"2022-08-17";"2022-11-04";"SwanMedica Oy"
"088750";"K";"2022-11-17";"2022-12-05";"2022-11-04";"2022-11-04";"Orion Oyj"
"456179";"K";"2022-11-02";"2022-12-31";"2022-11-03";"2022-11-03";"Accord Healthcare Oy"
"142421";"E";"2022-11-03";"2022-11-09";"2022-09-08";"2022-11-03";"Accord Healthcare Oy"
"061481";"K";"2022-11-16";"2022-11-27";"2022-11-03";"2022-11-03";"Organon Finland Oy"
"456128";"K";"2022-11-11";"2022-12-07";"2022-11-03";"2022-11-03";"Mundipharma Oy"
"085205";"K";"2022-11-09";"2022-11-21";"2022-11-03";"2022-11-03";"Santen Oy"
"089058";"K";"2022-12-03";"2023-01-31";"2022-11-03";"2022-11-03";"Accord Healthcare Oy"
"400733";"K";"2022-10-04";"2022-12-15";"2022-06-08";"2022-11-03";"Accord Healthcare Oy"
"462754";"K";"2022-12-02";"2023-01-06";"2022-11-03";"2022-11-03";"Mundipharma Oy"
"039168";"E";"2022-07-26";"2022-11-03";"2022-05-25";"2022-11-03";"Krka Finland Oy"
"149386";"K";"2022-09-09";"2022-12-07";"2022-08-25";"2022-11-03";"Mundipharma Oy"
"140310";"E";"2022-10-09";"2022-11-11";"2022-09-09";"2022-11-02";"Orifarm Healthcare Oy"
"051739";"K";"2022-11-03";"2022-11-30";"2022-11-02";"2022-11-02";"Orifarm Healthcare Oy"
"053018";"K";"2022-11-02";"2023-01-20";"2022-11-01";"2022-11-02";"Gedeon Richter"
"373632";"K";"2022-10-05";"2022-12-31";"2022-10-05";"2022-11-02";"Orifarm Healthcare Oy"
"433323";"K";"2022-10-14";"2022-12-31";"2022-09-30";"2022-11-02";"Abacus Medicine A/S"
"510642";"K";"2022-11-02";"2022-12-01";"2022-09-16";"2022-11-02";"Novo Nordisk Farma Oy"
"022352";"E";"2022-09-24";"2022-11-02";"2022-09-15";"2022-11-02";"Orifarm Healthcare Oy"
"123895";"K";"2022-11-02";"2022-12-08";"2022-08-24";"2022-11-02";"Novo Nordisk Farma Oy"
"489034";"K";"2022-11-08";"2022-12-01";"2022-07-21";"2022-11-02";"Novo Nordisk Farma Oy"
"020144";"K";"2022-12-04";"2022-12-28";"2022-10-26";"2022-11-02";"Viatris Oy"
"547392";"E";"2022-09-15";"2022-11-02";"2022-09-15";"2022-11-02";"Abacus Medicine A/S"
"107484";"K";"2022-06-20";"2022-12-31";"2022-06-20";"2022-11-02";"Stada Nordic ApS, Suomen sivuliike"
"157807";"K";"2022-10-03";"2022-12-31";"2022-09-15";"2022-11-02";"Abacus Medicine A/S"
"371417";"K";"2022-11-07";"2022-12-31";"2022-11-02";"2022-11-02";"Abacus Medicine A/S"
"573177";"K";"2022-07-01";"2022-11-18";"2022-06-23";"2022-11-02";"Novartis Finland Oy"
"009334";"E";"2022-10-21";"2022-11-09";"2022-10-17";"2022-11-02";"Orifarm Healthcare Oy"
"560718";"E";"2022-10-31";"2022-11-02";"2022-10-28";"2022-11-02";"Orion Oyj"
"085506";"E";"2022-11-03";"2022-11-09";"2022-10-26";"2022-11-02";"Orifarm Healthcare Oy"
