"VNR";"Voimassa";"SaatavuushairioAlkupaiva";"SaatavuushairioLoppupaiva";"Ilmoituspaiva";"Muokkauspaiva";"Yritys"
"186791";"K";"2022-12-27";"2023-01-27";"2022-11-11";"2022-11-11";"Orion Oyj"
"074420";"K";"2022-01-14";"2022-11-18";"2022-01-14";"2022-11-11";"Orion Oyj"
"036979";"K";"2022-11-21";"2023-01-31";"2022-11-11";"2022-11-11";"B. Braun Medical Oy"
"434425";"K";"2022-11-30";"2022-12-13";"2022-10-14";"2022-11-11";"Chiesi Pharma AB"
"155398";"K";"2022-10-24";"2022-11-18";"2022-09-23";"2022-11-11";"Orion Oyj"
"456913";"K";"2022-06-06";"2022-11-30";"2022-06-06";"2022-11-11";"Orifarm Healthcare Oy"
"099330";"K";"2022-07-14";"2022-11-18";"2022-06-03";"2022-11-11";"Orion Oyj"
"541033";"K";"2022-10-25";"2022-11-18";"2022-10-28";"2022-11-11";"Orion Oyj"
"539452";"K";"2022-11-07";"2023-01-15";"2022-10-31";"2022-11-11";"Organon Finland Oy"
"407425";"K";"2022-11-14";"2023-01-23";"2022-11-10";"2022-11-11";"Propharma Group AB"
"403190";"K";"2022-10-27";"2022-11-30";"2022-10-19";"2022-11-11";"Orifarm Healthcare Oy"
"013031";"K";"2022-09-11";"2022-11-30";"2022-07-19";"2022-11-11";"Orifarm Healthcare Oy"
"416446";"K";"2022-11-23";"2022-12-18";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"567809";"E";"2022-09-12";"2022-11-04";"2022-08-12";"2022-11-10";"Accord Healthcare Oy"
"048297";"K";"2022-09-27";"2022-12-18";"2022-09-23";"2022-11-10";"Organon Finland Oy"
"114440";"K";"2022-11-21";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"128078";"K";"2022-09-08";"2023-01-16";"2022-09-05";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"541169";"K";"2022-11-10";"2022-11-25";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"079061";"K";"2022-07-25";"2022-12-18";"2022-06-16";"2022-11-10";"Organon Finland Oy"
"179333";"K";"2022-11-10";"2022-11-24";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"406469";"K";"2023-01-15";"2023-03-31";"2022-11-03";"2022-11-10";"Accord Healthcare Oy"
"112601";"E";"2022-11-03";"2022-11-03";"2022-11-03";"2022-11-10";"Accord Healthcare Oy"
"454804";"E";"2022-01-01";"2022-11-09";"2021-12-17";"2022-11-10";"Accord Healthcare Oy"
"011216";"K";"2022-11-24";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"011271";"K";"2022-11-21";"2022-12-11";"2022-11-10";"2022-11-10";"Organon Finland Oy"
"172143";"K";"2022-11-11";"2023-02-28";"2022-11-10";"2022-11-10";"Accord Healthcare Oy"
"011282";"K";"2022-11-14";"2022-12-11";"2022-11-03";"2022-11-10";"Organon Finland Oy"
"044995";"K";"2022-09-05";"2023-02-28";"2022-08-26";"2022-11-10";"Accord Healthcare Oy"
"549278";"K";"2022-11-30";"2023-03-15";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"127383";"K";"2022-11-15";"2023-01-10";"2022-11-10";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"408256";"K";"2022-11-10";"2022-12-08";"2022-11-10";"2022-11-10";"2care4 ApS, filial"
"040706";"K";"2022-11-10";"2022-12-31";"2022-11-10";"2022-11-10";"Stada Nordic ApS, Suomen sivuliike"
"040718";"K";"2022-11-10";"2022-12-31";"2022-11-10";"2022-11-10";"Stada Nordic ApS, Suomen sivuliike"
"088207";"K";"2022-08-25";"2022-12-19";"2022-08-05";"2022-11-10";"RB Nordic Health A/S, sivuliike Suomessa"
"005790";"E";"2022-11-09";"2022-11-10";"2022-11-09";"2022-11-09";"Oy H. Lundbeck Ab"
"467696";"K";"2022-12-03";"2022-12-23";"2022-11-09";"2022-11-09";"Sanofy Oy"
"493044";"K";"2022-10-11";"2022-11-17";"2022-08-25";"2022-11-09";"Sandoz A/S"
"562802";"K";"2022-12-01";"2023-01-11";"2022-10-17";"2022-11-09";"Sandoz A/S"
"573568";"E";"2022-11-03";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"566042";"E";"2022-08-30";"2022-11-14";"2022-06-15";"2022-11-09";"Sanofy Oy"
"137505";"K";"2022-11-28";"2023-01-23";"2022-11-09";"2022-11-09";"Nordic Drugs"
"074051";"K";"2022-11-09";"2022-11-30";"2022-11-09";"2022-11-09";"Novartis Finland Oy"
"539031";"K";"2022-11-30";"2023-02-17";"2022-11-28";"2022-11-09";"Sanofy Oy"
"583518";"K";"2022-11-09";"2022-12-23";"2022-11-09";"2022-11-09";"OY GE HEALTHCARE BIO-SCIENCES AB"
"071488";"E";"2022-03-01";"2022-11-09";"2022-03-04";"2022-11-09";"Orion Oyj"
"585786";"K";"2022-11-09";"2022-11-18";"2022-11-09";"2022-11-09";"Recordati AB"
"063219";"E";"2022-10-24";"2022-11-03";"2022-09-21";"2022-11-09";"Pfizer"
"161950";"E";"2022-10-01";"2022-11-09";"2022-09-22";"2022-11-09";"Novartis Finland Oy"
"448635";"E";"2022-10-26";"2022-11-15";"2022-10-26";"2022-11-09";"Viatris Oy"
"409827";"K";"2023-01-27";"2023-04-17";"2022-11-09";"2022-11-09";"Sandoz A/S"
"479142";"E";"2022-09-20";"2022-11-14";"2022-06-29";"2022-11-09";"Sanofy Oy"
"055764";"E";"2022-11-04";"2022-11-07";"2022-11-04";"2022-11-09";"LEO Pharma Oy"
"599361";"E";"2022-08-30";"2022-11-09";"2022-07-22";"2022-11-09";"Orion Oyj"
"599317";"K";"2023-01-14";"2023-01-26";"2022-11-09";"2022-11-09";"Sandoz A/S"
"525649";"E";"2022-11-02";"2022-11-09";"2022-11-04";"2022-11-09";"Orion Oyj"
"157833";"K";"2023-01-09";"2023-01-13";"2022-11-09";"2022-11-09";"Sandoz A/S"
"406737";"K";"2023-01-14";"2023-03-02";"2022-11-09";"2022-11-09";"Sandoz A/S"
"542632";"E";"2022-11-04";"2022-11-07";"2022-11-04";"2022-11-09";"LEO Pharma Oy"
"084948";"K";"2022-11-15";"2022-12-16";"2022-10-26";"2022-11-09";"Sanofy Oy"
"451155";"K";"2022-10-11";"2023-01-10";"2022-03-29";"2022-11-09";"Sandoz A/S"
"028761";"K";"2022-11-29";"2023-01-20";"2022-10-19";"2022-11-09";"Sanofy Oy"
"373469";"K";"2022-11-25";"2022-12-15";"2022-11-09";"2022-11-09";"Nordic Drugs"
"083993";"K";"2022-11-01";"2022-12-20";"2022-10-24";"2022-11-09";"Sandoz A/S"
"543571";"K";"2022-11-01";"2023-01-20";"2019-09-15";"2022-11-09";"Sandoz A/S"
"180419";"E";"2022-10-31";"2022-11-07";"2022-10-25";"2022-11-09";"LEO Pharma Oy"
"583708";"K";"2022-11-09";"2022-11-22";"2022-11-09";"2022-11-09";"OY GE HEALTHCARE BIO-SCIENCES AB"
"180996";"E";"2022-10-26";"2022-11-09";"2022-10-07";"2022-11-09";"Orion Oyj"
"553844";"K";"2022-11-01";"2022-12-12";"2022-08-05";"2022-11-09";"Sandoz A/S"
"416330";"K";"2022-11-14";"2022-11-25";"2022-10-07";"2022-11-09";"MSD Finland Oy"
"159554";"E";"2022-10-31";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"562556";"K";"2022-12-14";"2023-01-13";"2022-10-11";"2022-11-09";"Sanofy Oy"
"145158";"E";"2022-10-25";"2022-11-07";"2022-10-25";"2022-11-09";"LEO Pharma Oy"
"096716";"E";"2022-10-31";"2022-11-07";"2022-10-27";"2022-11-09";"LEO Pharma Oy"
"573576";"E";"2022-10-13";"2022-11-07";"2022-10-11";"2022-11-09";"LEO Pharma Oy"
"133315";"K";"2023-01-05";"2023-01-10";"2022-10-31";"2022-11-09";"Sandoz A/S"
"568224";"E";"2022-11-04";"2022-11-07";"2022-11-08";"2022-11-08";"LEO Pharma Oy"
"559948";"E";"2022-10-13";"2022-11-09";"2022-09-29";"2022-11-08";"Pfizer"
"022286";"E";"2022-09-24";"2022-11-02";"2022-09-15";"2022-11-08";"Orifarm Healthcare Oy"
"008970";"E";"2022-10-04";"2022-11-08";"2022-11-08";"2022-11-08";"Orifarm Healthcare Oy"
"013194";"K";"2022-11-08";"2022-12-20";"2022-11-08";"2022-11-08";"Orifarm Healthcare Oy"
"190221";"K";"2022-03-03";"2023-01-31";"2022-02-04";"2022-11-08";"Orifarm Oy (rinnakkaismaahantuoja)"
"545394";"K";"2022-08-31";"2022-11-23";"2022-08-01";"2022-11-07";"Krka Finland Oy"
"076282";"K";"2022-09-01";"2023-01-25";"2022-08-02";"2022-11-07";"Krka Finland Oy"
"161754";"K";"2022-10-14";"2022-12-08";"2022-09-27";"2022-11-07";"Krka Finland Oy"
"168329";"E";"2022-08-01";"2022-11-07";"2022-05-30";"2022-11-07";"Berlin-Chemie / A. Menarini Suomi Oy"
"546862";"K";"2022-08-01";"2022-12-31";"2022-07-26";"2022-11-07";"Abacus Medicine A/S"
"082252";"K";"2022-11-08";"2022-12-07";"2022-11-07";"2022-11-07";"Oy Verman Ab"
"199099";"K";"2022-11-24";"2023-01-11";"2022-11-07";"2022-11-07";"Krka Finland Oy"
"423242";"K";"2022-11-07";"2022-12-31";"2022-09-15";"2022-11-07";"Abacus Medicine A/S"
"188604";"K";"2022-09-26";"2022-12-21";"2022-07-25";"2022-11-07";"Krka Finland Oy"
"101845";"K";"2022-10-12";"2022-12-19";"2022-09-28";"2022-11-07";"Berlin-Chemie / A. Menarini Suomi Oy"
"040092";"K";"2022-11-07";"2022-11-16";"2022-11-07";"2022-11-07";"Krka Finland Oy"
"443922";"K";"2022-11-02";"2022-11-23";"2022-11-02";"2022-11-07";"Krka Finland Oy"
"137331";"K";"2022-09-26";"2022-11-21";"2022-08-18";"2022-11-07";"Nordic Drugs"
"446875";"K";"2022-04-09";"2022-11-30";"2022-03-31";"2022-11-04";"Orifarm Oy (rinnakkaisjakelija)"
"402570";"K";"2022-09-29";"2023-02-27";"2022-08-12";"2022-11-04";"Orion Oyj"
"067329";"K";"2022-11-13";"2023-04-30";"2022-11-03";"2022-11-04";"Accord Healthcare Oy"
"097622";"E";"2022-11-04";"2022-11-11";"2022-11-04";"2022-11-04";"LEO Pharma Oy"
"378197";"K";"2022-05-31";"2023-01-02";"2022-04-08";"2022-11-04";"Orion Oyj"
"373451";"K";"2022-11-08";"2023-02-24";"2022-11-04";"2022-11-04";"Orion Oyj"
"096682";"E";"2022-10-27";"2022-11-03";"2022-10-27";"2022-11-04";"LEO Pharma Oy"
"586354";"K";"2022-11-08";"2022-12-05";"2022-11-04";"2022-11-04";"Orion Oyj"
"404491";"K";"2023-01-02";"2023-01-25";"2022-05-23";"2022-11-04";"Boehringer Ingelheim Finland Ky"
"088750";"K";"2022-11-17";"2022-12-05";"2022-11-04";"2022-11-04";"Orion Oyj"
"384490";"K";"2022-12-15";"2022-12-31";"2022-11-04";"2022-11-04";"Orion Oyj"
"370079";"K";"2022-11-02";"2022-12-19";"2022-11-04";"2022-11-04";"Orion Oyj"
"557982";"K";"2022-11-03";"2022-11-21";"2022-11-01";"2022-11-04";"Teva Finland Oy"
"145613";"K";"2022-12-05";"2023-02-27";"2022-10-10";"2022-11-04";"Teva Finland Oy"
"041405";"E";"2022-07-07";"2022-11-11";"2022-05-20";"2022-11-04";"Orion Oyj"
"476913";"K";"2022-11-04";"2023-03-06";"2022-11-01";"2022-11-04";"Teva Finland Oy"
"173414";"K";"2022-12-06";"2022-12-26";"2022-11-04";"2022-11-04";"Orion Oyj"
"578345";"K";"2022-10-28";"2023-02-13";"2022-09-30";"2022-11-04";"Orion Oyj"
"124714";"K";"2022-10-10";"2022-11-16";"2022-08-17";"2022-11-04";"SwanMedica Oy"
"014026";"K";"2022-08-01";"2022-12-09";"2022-05-24";"2022-11-04";"McNeil a division of Janssen-Cilag Oy"
"462488";"K";"2022-10-13";"2022-11-28";"2022-09-30";"2022-11-04";"Orion Oyj"
"035005";"E";"2022-08-17";"2022-11-11";"2022-05-30";"2022-11-04";"Orion Oyj"
"544902";"K";"2022-12-16";"2023-02-10";"2022-11-04";"2022-11-04";"Orion Oyj"
"006015";"K";"2022-11-28";"2023-02-20";"2022-11-28";"2022-11-04";"Orion Oyj"
"005835";"K";"2022-11-28";"2023-02-20";"2022-11-28";"2022-11-04";"Orion Oyj"
"533694";"K";"2022-10-10";"2022-11-16";"2022-10-05";"2022-11-04";"SwanMedica Oy"
"537324";"K";"2022-11-01";"2022-12-05";"2022-10-28";"2022-11-04";"Orion Oyj"
"061481";"K";"2022-11-16";"2022-11-27";"2022-11-03";"2022-11-03";"Organon Finland Oy"
"456128";"K";"2022-11-11";"2022-12-07";"2022-11-03";"2022-11-03";"Mundipharma Oy"
"085205";"K";"2022-11-09";"2022-11-21";"2022-11-03";"2022-11-03";"Santen Oy"
"149386";"K";"2022-09-09";"2022-12-07";"2022-08-25";"2022-11-03";"Mundipharma Oy"
"456179";"K";"2022-11-02";"2022-12-31";"2022-11-03";"2022-11-03";"Accord Healthcare Oy"
"039168";"E";"2022-07-26";"2022-11-03";"2022-05-25";"2022-11-03";"Krka Finland Oy"
"089058";"K";"2022-12-03";"2023-01-31";"2022-11-03";"2022-11-03";"Accord Healthcare Oy"
"142421";"E";"2022-11-03";"2022-11-09";"2022-09-08";"2022-11-03";"Accord Healthcare Oy"
"400733";"K";"2022-10-04";"2022-12-15";"2022-06-08";"2022-11-03";"Accord Healthcare Oy"
"462754";"K";"2022-12-02";"2023-01-06";"2022-11-03";"2022-11-03";"Mundipharma Oy"
"440064";"K";"2022-11-07";"2022-11-21";"2022-11-03";"2022-11-03";"Santen Oy"
"022352";"E";"2022-09-24";"2022-11-02";"2022-09-15";"2022-11-02";"Orifarm Healthcare Oy"
"140310";"E";"2022-10-09";"2022-11-11";"2022-09-09";"2022-11-02";"Orifarm Healthcare Oy"
"107484";"K";"2022-06-20";"2022-12-31";"2022-06-20";"2022-11-02";"Stada Nordic ApS, Suomen sivuliike"
"572852";"K";"2022-10-03";"2022-12-31";"2022-09-15";"2022-11-02";"Abacus Medicine A/S"
"547392";"E";"2022-09-15";"2022-11-02";"2022-09-15";"2022-11-02";"Abacus Medicine A/S"
"085506";"E";"2022-11-03";"2022-11-09";"2022-10-26";"2022-11-02";"Orifarm Healthcare Oy"
"510642";"K";"2022-11-02";"2022-12-01";"2022-09-16";"2022-11-02";"Novo Nordisk Farma Oy"
"099813";"K";"2023-11-30";"2023-03-31";"2022-10-26";"2022-11-02";"Viatris Oy"
"157807";"K";"2022-10-03";"2022-12-31";"2022-09-15";"2022-11-02";"Abacus Medicine A/S"
"009334";"E";"2022-10-21";"2022-11-09";"2022-10-17";"2022-11-02";"Orifarm Healthcare Oy"
"020144";"K";"2022-12-04";"2022-12-28";"2022-10-26";"2022-11-02";"Viatris Oy"
"560718";"E";"2022-10-31";"2022-11-02";"2022-10-28";"2022-11-02";"Orion Oyj"
"433323";"K";"2022-10-14";"2022-12-31";"2022-09-30";"2022-11-02";"Abacus Medicine A/S"
"371417";"K";"2022-11-07";"2022-12-31";"2022-11-02";"2022-11-02";"Abacus Medicine A/S"
"123895";"K";"2022-11-02";"2022-12-08";"2022-08-24";"2022-11-02";"Novo Nordisk Farma Oy"
"135210";"K";"2022-11-15";"2022-12-23";"2022-10-05";"2022-11-02";"Sanofy Oy"
"373632";"K";"2022-10-05";"2022-12-31";"2022-10-05";"2022-11-02";"Orifarm Healthcare Oy"
"053018";"K";"2022-11-02";"2023-01-20";"2022-11-01";"2022-11-02";"Gedeon Richter"
"051739";"K";"2022-11-03";"2022-11-30";"2022-11-02";"2022-11-02";"Orifarm Healthcare Oy"
"489034";"K";"2022-11-08";"2022-12-01";"2022-07-21";"2022-11-02";"Novo Nordisk Farma Oy"
"573177";"K";"2022-07-01";"2022-11-18";"2022-06-23";"2022-11-02";"Novartis Finland Oy"
"542893";"K";"2022-11-07";"2023-04-27";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"503831";"K";"2022-11-01";"2022-12-09";"2022-11-01";"2022-11-01";"GLAXOSMITHKLINE CONSUMER HEALTHCARE"
"019121";"K";"2022-11-04";"2022-12-30";"2022-11-01";"2022-11-01";"OY GE HEALTHCARE BIO-SCIENCES AB"
"140613";"K";"2022-12-27";"2023-03-13";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"060132";"K";"2022-11-28";"2023-04-24";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"405076";"K";"2022-11-08";"2022-11-21";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"008959";"K";"2022-11-03";"2022-12-23";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"464110";"K";"2022-05-31";"2022-12-01";"2022-09-10";"2022-11-01";"Bausch & Lomb Nordic AB"
"520647";"K";"2022-11-28";"2022-12-30";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"040267";"K";"2022-11-22";"2022-12-05";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"184911";"E";"2022-08-20";"2022-11-01";"2022-08-12";"2022-11-01";"Orion Oyj"
"106842";"K";"2022-09-23";"2023-01-31";"2022-09-02";"2022-11-01";"Accord Healthcare Oy"
"040148";"K";"2022-11-25";"2022-12-19";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"186942";"K";"2022-11-01";"2023-01-31";"2022-10-25";"2022-11-01";"Fresenius Kabi AB, sivuliike Suomessa"
"459105";"K";"2022-12-17";"2023-01-31";"2022-10-28";"2022-11-01";"Accord Healthcare Oy"
"077525";"K";"2022-12-10";"2023-03-31";"2022-10-07";"2022-11-01";"Accord Healthcare Oy"
"030674";"K";"2022-11-18";"2022-12-23";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"139766";"K";"2022-11-28";"2022-12-19";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"167057";"K";"2022-11-04";"2022-11-28";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"122827";"K";"2022-11-19";"2023-01-31";"2022-10-28";"2022-11-01";"Accord Healthcare Oy"
"485449";"K";"2022-08-09";"2023-03-31";"2022-07-04";"2022-11-01";"Accord Healthcare Oy"
"185371";"E";"2022-10-25";"2022-11-01";"2022-09-30";"2022-11-01";"Orion Oyj"
"532218";"K";"2022-11-21";"2022-12-09";"2022-11-01";"2022-11-01";"Pfizer"
"081243";"K";"2022-11-03";"2022-11-25";"2022-11-01";"2022-11-01";"GLAXOSMITHKLINE CONSUMER HEALTHCARE"
"081250";"K";"2022-11-14";"2023-01-30";"2022-11-01";"2022-11-01";"Teva Finland Oy"
"081478";"K";"2022-11-01";"2022-11-18";"2022-11-01";"2022-11-01";"GLAXOSMITHKLINE CONSUMER HEALTHCARE"
"438623";"K";"2023-01-21";"2023-03-31";"2022-10-07";"2022-11-01";"Accord Healthcare Oy"
"577687";"E";"2022-08-31";"2023-08-31";"2022-08-31";"2022-11-01";"Orifarm Oy"
"163064";"K";"2022-10-31";"2023-01-09";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"117382";"K";"2022-07-12";"2022-12-19";"2022-03-22";"2022-10-31";"Teva Finland Oy"
"371615";"K";"2022-09-28";"2022-11-21";"2022-08-09";"2022-10-31";"Teva Finland Oy"
"117374";"K";"2022-07-08";"2022-12-19";"2022-03-22";"2022-10-31";"Teva Finland Oy"
"115622";"K";"2022-11-15";"2023-04-17";"2022-10-17";"2022-10-31";"Sandoz A/S"
"117341";"K";"2022-04-13";"2022-12-14";"2022-03-08";"2022-10-31";"Teva Finland Oy"
"371235";"K";"2022-10-24";"2023-06-30";"2022-10-31";"2022-10-31";"GlaxoSmithKline Oy"
"117333";"K";"2022-03-23";"2022-12-14";"2022-01-25";"2022-10-31";"Teva Finland Oy"
"573781";"E";"2022-10-12";"2022-11-15";"2022-10-11";"2022-10-31";"Teva Finland Oy"
"581969";"K";"2022-09-26";"2022-12-16";"2022-09-16";"2022-10-31";"Novartis Finland Oy"
"125587";"E";"2022-09-22";"2022-11-03";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"133229";"K";"2022-11-01";"2023-04-06";"2022-09-06";"2022-10-31";"Teva Finland Oy"
"115593";"E";"2022-10-19";"2022-11-14";"2022-10-04";"2022-10-31";"Teva Finland Oy"
"106726";"K";"2022-11-25";"2022-12-31";"2022-07-12";"2022-10-31";"Teva Finland Oy"
"107799";"E";"2022-09-28";"2022-11-10";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"388419";"K";"2022-11-13";"2023-01-26";"2022-10-31";"2022-10-31";"Sandoz A/S"
"139758";"K";"2022-10-20";"2022-12-12";"2022-10-04";"2022-10-31";"Teva Finland Oy"
"190940";"E";"2022-11-01";"2022-11-04";"2022-10-31";"2022-10-31";"Sandoz A/S"
"166354";"K";"2022-11-01";"2022-12-17";"2022-08-02";"2022-10-31";"Sandoz A/S"
"567694";"K";"2022-09-07";"2023-10-31";"2022-08-30";"2022-10-31";"Teva Finland Oy"
"161495";"K";"2022-12-15";"2022-12-19";"2022-10-18";"2022-10-31";"Teva Finland Oy"
"008050";"K";"2022-08-11";"2022-11-30";"2022-07-26";"2022-10-31";"Teva Finland Oy"
"585661";"E";"2022-10-27";"2022-10-28";"2022-10-27";"2022-10-31";"LEO Pharma Oy"
"070528";"K";"2022-10-14";"2022-11-21";"2022-09-06";"2022-10-31";"Teva Finland Oy"
"046626";"K";"2022-11-18";"2023-03-13";"2022-10-10";"2022-10-31";"Teva Finland Oy"
"013141";"K";"2022-09-28";"2022-11-28";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"558576";"K";"2022-11-05";"2023-02-08";"2022-06-04";"2022-10-31";"Sandoz A/S"
"040724";"K";"2022-11-16";"2023-01-18";"2022-10-31";"2022-10-31";"Krka Finland Oy"
"010128";"K";"2022-09-15";"2022-12-19";"2022-09-06";"2022-10-31";"Teva Finland Oy"
"446879";"E";"2022-10-07";"2022-11-09";"2022-07-12";"2022-10-31";"Krka Finland Oy"
"525603";"K";"2022-09-15";"2022-11-28";"2022-07-26";"2022-10-31";"Teva Finland Oy"
"046724";"K";"2022-11-08";"2022-12-26";"2022-10-18";"2022-10-31";"Teva Finland Oy"
"034124";"K";"2022-11-07";"2023-01-09";"2022-10-18";"2022-10-31";"Teva Finland Oy"
"060114";"E";"2022-09-13";"2022-10-27";"2022-07-12";"2022-10-31";"Teva Finland Oy"
"455298";"K";"2022-07-26";"2022-11-21";"2022-06-16";"2022-10-31";"Teva Finland Oy"
"030501";"E";"2022-11-01";"2022-11-04";"2022-10-31";"2022-10-31";"Sandoz A/S"
"491944";"K";"2022-08-22";"2022-11-17";"2022-05-31";"2022-10-31";"Teva Finland Oy"
"492207";"K";"2022-10-20";"2023-01-30";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"460528";"K";"2022-11-13";"2023-02-09";"2022-09-12";"2022-10-31";"Sandoz A/S"
"018702";"K";"2022-10-28";"2023-01-30";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"431948";"E";"2022-08-08";"2022-11-09";"2022-05-25";"2022-10-31";"Krka Finland Oy"
"559147";"K";"2022-09-13";"2022-11-28";"2022-08-09";"2022-10-31";"Teva Finland Oy"
"006323";"K";"2022-10-07";"2022-12-19";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"100107";"K";"2022-04-19";"2022-12-19";"2022-02-22";"2022-10-31";"Teva Finland Oy"
"100099";"K";"2022-03-23";"2022-12-14";"2022-01-25";"2022-10-31";"Teva Finland Oy"
"498228";"K";"2022-10-21";"2022-11-28";"2022-08-30";"2022-10-31";"Teva Finland Oy"
"013152";"K";"2022-10-19";"2022-11-28";"2022-10-18";"2022-10-31";"Teva Finland Oy"
"517693";"K";"2022-10-17";"2023-01-09";"2022-10-04";"2022-10-31";"Teva Finland Oy"
"023380";"K";"2022-06-29";"2023-01-09";"2022-02-22";"2022-10-31";"Teva Finland Oy"
"481176";"K";"2022-10-24";"2023-06-30";"2022-10-31";"2022-10-31";"GlaxoSmithKline Oy"
"545463";"K";"2022-11-25";"2023-02-27";"2022-10-18";"2022-10-31";"Teva Finland Oy"
"560121";"E";"2022-09-29";"2022-10-21";"2022-09-20";"2022-10-31";"Teva Finland Oy"
"491461";"E";"2022-08-08";"2022-11-09";"2022-07-12";"2022-10-31";"Teva Finland Oy"
"477386";"K";"2022-04-29";"2023-02-26";"2022-04-06";"2022-10-31";"Teva Finland Oy"
"081183";"K";"2022-10-17";"2022-12-19";"2022-09-20";"2022-10-31";"Teva Finland Oy"
