SUBSTITUUTIORYHMA;VNRNRO;PAKKAUSKOKO;RESEPTISTATUS;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;HALTIJA;ATCKOODI;SELITES;KAUPAN;DOKUMENTAATIO;RINNAKKAISTUONTI;MYYNTILUPANRO;EUMYYNTILUPANRO
0024;445403;16;K;Imocur;2 mg;kapseli, kova;Viatris Limited;A07DA03;loperamidi;1;G;0;12501;
0024;445429;8;K;Imocur;2 mg;kapseli, kova;Viatris Limited;A07DA03;loperamidi;1;G;0;12501;
0024;497499;12;K;Imodium;2 mg;kapseli, pehme‰;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;1;A;0;28359;
0024;510674;40;R;Imodium;2 mg;kapseli, kova;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;1;A;0;8087;
0024;569277;8;K;Imodium;2 mg;tabletti, kalvop‰‰llysteinen;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;1;A;0;11114;
0024;569285;16;K;Imodium;2 mg;tabletti, kalvop‰‰llysteinen;McNeil / JNTL Consumer Health (Finland) Oy;A07DA03;loperamidi;1;A;0;11114;
0027;008023;30;R;Glucophage;1000 mg;tabletti, kalvop‰‰llysteinen;Merck SantÈ s.a.s;A10BA02;metformiini;0;A;0;16414;
0027;010730;100;R;Glucophage;1000 mg;tabletti, kalvop‰‰llysteinen;Merck SantÈ s.a.s;A10BA02;metformiini;1;A;0;16414;
0027;030252;100;R;Metforem;1 g;tabletti, kalvop‰‰llysteinen;Orion Corporation;A10BA02;metformiini;1;G;0;24596;
0027;107484;100;R;Metformin STADA;1000 mg;tabletti, kalvop‰‰llysteinen;STADA Arzneimittel AG;A10BA02;metformiini;1;G;0;20415;
0027;373566;100;R;Metformin ratiopharm;1000 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;A10BA02;metformiini;1;G;0;39135;
0027;390128;100;R;Metformin Zentiva;1000 mg;tabletti, kalvop‰‰llysteinen;Zentiva, k.s.;A10BA02;metformiini;1;G;0;38091;
0029;047890;100;R;Metformin Zentiva;500 mg;tabletti, kalvop‰‰llysteinen;Zentiva, k.s.;A10BA02;metformiini;1;G;0;38089;
0029;088595;100;R;Metformin ratiopharm;500 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;A10BA02;metformiini;1;G;0;39133;
0029;101689;100;R;Metformin Vitabalans;500 mg;tabletti, kalvop‰‰llysteinen;Vitabalans Oy;A10BA02;metformiini;1;G;0;29764;
0029;374231;100;R;Glucophage;500 mg;tabletti, kalvop‰‰llysteinen;Merck SantÈ s.a.s;A10BA02;metformiini;1;A;0;4566;
0029;395673;100;R;Oramet;500 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;A10BA02;metformiini;1;G;0;24053;
0030;058780;100;R;Metformin ratiopharm;850 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;A10BA02;metformiini;1;G;0;39134;
0030;438486;100;R;Metformin Zentiva;850 mg;tabletti, kalvop‰‰llysteinen;Zentiva, k.s.;A10BA02;metformiini;1;G;0;38090;
0030;544891;100;R;Oramet;850 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;A10BA02;metformiini;1;G;0;24054;
0040;133722;30;R;Pioglitazone Accord;30 mg;tabletti;Accord Healthcare S.L.U.;A10BG03;pioglitatsoni;1;G;0;29484;EU/1/11/722/013
0040;513992;98;R;Pioglitazone Actavis;30 mg;tabletti;Actavis Group PTC ehf;A10BG03;pioglitatsoni;1;G;0;29368;EU/1/12/755/017
0040;593379;98;R;Pioglitazone Accord;30 mg;tabletti;Accord Healthcare S.L.U.;A10BG03;pioglitatsoni;1;G;0;29484;EU/1/11/722/018
0050;020454;100;R;Isosorbide Mononitrate Vitabalans;10 mg;tabletti;Vitabalans Oy;C01DA14;isosorbidimononitraatti;0;G;0;18898;
0050;070110;100;R;Ormox;10 mg;tabletti;Orion Corporation;C01DA14;isosorbidimononitraatti;1;G;0;14388;
0050;097873;100;R;Ismox;10 mg;tabletti;Esteve Pharmaceuticals GmbH;C01DA14;isosorbidimononitraatti;1;G;0;12111;
0051;060889;30;R;Ismox;20 mg;tabletti;Esteve Pharmaceuticals GmbH;C01DA14;isosorbidimononitraatti;0;G;0;9303;
0051;060897;100;R;Ismox;20 mg;tabletti;Esteve Pharmaceuticals GmbH;C01DA14;isosorbidimononitraatti;1;G;0;9303;
0051;070185;100;R;Ormox;20 mg;tabletti;Orion Corporation;C01DA14;isosorbidimononitraatti;1;G;0;14387;
0051;133694;30;R;Isangina;20 mg;tabletti;Merus Labs Luxco II S.‡ r.l.;C01DA14;isosorbidimononitraatti;0;A;0;9321;
0051;133819;100;R;Isangina;20 mg;tabletti;Merus Labs Luxco II S.‡ r.l.;C01DA14;isosorbidimononitraatti;1;A;0;9321;
0052;016642;98;R;Physiotens;0.2 mg;tabletti, kalvop‰‰llysteinen;Viatris Oy;C02AC05;moksonidiini;1;A;0;12352;
0052;024269;100;R;Moxonidin Stada;0.2 mg;tabletti, kalvop‰‰llysteinen;STADA Arzneimittel AG;C02AC05;moksonidiini;1;G;0;18253;
0052;024278;30;R;Moxonidin Stada;0.2 mg;tabletti, kalvop‰‰llysteinen;STADA Arzneimittel AG;C02AC05;moksonidiini;0;G;0;18253;
0052;048600;98;R;Moxonidin ratiopharm;0.2 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;C02AC05;moksonidiini;1;G;0;22383;
0052;567694;28;R;Moxonidin ratiopharm;0.2 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;C02AC05;moksonidiini;1;G;0;22383;
0054;017806;98;R;Physiotens;0.4 mg;tabletti, kalvop‰‰llysteinen;Viatris Oy;C02AC05;moksonidiini;1;A;0;12354;
0054;024243;100;R;Moxonidin Stada;0.4 mg;tabletti, kalvop‰‰llysteinen;STADA Arzneimittel AG;C02AC05;moksonidiini;1;G;0;18255;
0054;160111;30;R;Moxonidin Stada;0.4 mg;tabletti, kalvop‰‰llysteinen;STADA Arzneimittel AG;C02AC05;moksonidiini;1;G;0;18255;
0054;465151;28;R;Moxonidin ratiopharm;0.4 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;C02AC05;moksonidiini;1;G;0;22385;
0054;478411;98;R;Moxonidin ratiopharm;0.4 mg;tabletti, kalvop‰‰llysteinen;Teva B.V.;C02AC05;moksonidiini;1;G;0;22385;
0059;158717;100;R;Vesix;40 mg;tabletti;Orifarm Healthcare A/S;C03CA01;furosemidi;1;G;0;7988;
0059;476861;100;R;Furesis;40 mg;tabletti;Orion Corporation;C03CA01;furosemidi;1;A;0;2675;
0059;476895;500;R;Furesis;40 mg;tabletti;Orion Corporation;C03CA01;furosemidi;1;A;0;2675;
0059;496828;30;R;Furesis;40 mg;tabletti;Orion Corporation;C03CA01;furosemidi;0;A;0;2675;
0061;104055;100;R;Spironolactone Orion;25 mg;tabletti;Orion Corporation;C03DA01;spironolaktoni;1;G;0;25575;
0061;173682;100;R;Spirix;25 mg;tabletti;Orifarm Healthcare A/S;C03DA01;spironolaktoni;1;G;0;8069;
0061;569345;30;R;Spironolactone Orion;25 mg;tabletti;Orion Corporation;C03DA01;spironolaktoni;1;G;0;25575;
0062;174326;100;R;Spirix;50 mg;tabletti;Orifarm Healthcare A/S;C03DA01;spironolaktoni;1;G;0;9210;
0062;174460;30;R;Spironolactone Orion;50 mg;tabletti;Orion Corporation;C03DA01;spironolaktoni;0;G;0;25576;
0062;569377;100;R;Spironolactone Orion;50 mg;tabletti;Orion Corporation;C03DA01;spironolaktoni;1;G;0;25576;
0066;169235;30;R;Ranoprin;40 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AA05;propranololi;1;G;0;10487;
0066;169292;100;R;Ranoprin;40 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AA05;propranololi;1;G;0;10487;
0066;405684;100;R;Propranolol Accord;40 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AA05;propranololi;0;G;0;30769;
0066;460402;100;R;Propral;40 mg;tabletti;Orion Corporation;C07AA05;propranololi;1;A;0;7012;
0067;094492;100;R;Propranolol Accord;80 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AA05;propranololi;0;G;0;30770;
0067;169094;100;R;Ranoprin;80 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AA05;propranololi;1;G;0;10488;
0072;035097;100;R;Atenblock;100 mg;tabletti, kalvop‰‰llysteinen;Viatris Limited;C07AB03;atenololi;1;G;0;9725;
0072;492207;100;R;Tenoprin;100 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AB03;atenololi;1;G;0;10733;
0073;405605;100;R;Atenblock;25 mg;tabletti, kalvop‰‰llysteinen;Viatris Limited;C07AB03;atenololi;1;G;0;10708;
0073;491944;100;R;Tenoprin;25 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AB03;atenololi;1;G;0;10731;
0074;034967;100;R;Atenblock;50 mg;tabletti, kalvop‰‰llysteinen;Viatris Limited;C07AB03;atenololi;1;G;0;9724;
0074;492116;100;R;Tenoprin;50 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07AB03;atenololi;1;G;0;10732;
0078;002039;100;R;Orloc;10 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;C07AB07;bisoprololi;1;G;0;15607;
0078;016950;30;R;Emconcor Chf;10 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;0;A;0;14536;
0078;040160;98;R;Bisoprolol Ratiopharm;10 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;15813;
0078;051261;100;R;Bisoprolol Accord;10 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;1;G;0;33421;
0078;104332;100;R;Bisoprolol Krka;10 mg;tabletti, kalvop‰‰llysteinen;KRKA Sverige AB;C07AB07;bisoprololi;1;G;0;31173;
0078;109527;100;R;Bisoproact;10 mg;tabletti;SanoSwiss UAB;C07AB07;bisoprololi;1;G;0;24808;
0078;118193;30;R;Bisoprolol Accord;10 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;0;G;0;33421;
0078;180820;30;R;Bisoprolol Vitabalans;10 mg;tabletti;Vitabalans Oy;C07AB07;bisoprololi;1;G;0;22670;
0078;186135;100;R;Bisoprolol Sandoz;10 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24927;
0078;474353;30;R;Emconcor;10 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;10191;
0078;474411;100;R;Emconcor;10 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;10191;
0078;477424;100;R;Bisoprolol Sandoz;10 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24927;
0078;581317;100;R;Bisoprolol Vitabalans;10 mg;tabletti;Vitabalans Oy;C07AB07;bisoprololi;1;G;0;22670;
0079;016919;100;R;Emconcor Chf;2.5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;14532;
0079;016941;30;R;Emconcor Chf;2.5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;14532;
0079;064722;30;R;Bisoprolol Krka;2.5 mg;tabletti, kalvop‰‰llysteinen;KRKA Sverige AB;C07AB07;bisoprololi;1;G;0;31171;
0079;079734;30;R;Bisoprolol Ratiopharm;2.5 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;23914;
0079;079745;100;R;Bisoprolol Ratiopharm;2.5 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;23914;
0079;090534;30;R;Bisoproact;2.5 mg;tabletti;SanoSwiss UAB;C07AB07;bisoprololi;0;G;0;24806;
0079;090545;100;R;Bisoproact;2.5 mg;tabletti;SanoSwiss UAB;C07AB07;bisoprololi;1;G;0;24806;
0079;106452;100;R;Bisoprolol Krka;2.5 mg;tabletti, kalvop‰‰llysteinen;KRKA Sverige AB;C07AB07;bisoprololi;1;G;0;31171;
0079;107239;30;R;Bisoprolol Orion;2.5 mg;tabletti;Orion Corporation;C07AB07;bisoprololi;1;G;0;28520;
0079;183803;100;R;Bisoprolol Accord;2.5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;1;G;0;33419;
0079;388883;100;R;Bisoprolol Sandoz;2.5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24923;
0079;398756;30;R;Bisoprolol Accord;2.5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;1;G;0;33419;
0079;401742;100;R;Bisoprolol Sandoz;2.5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24923;
0079;541965;250;R;Bisoprolol Sandoz;2.5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24923;
0079;559147;50;R;Bisoprolol Ratiopharm;2.5 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;23914;
0079;584609;100;R;Bisoprolol Orion;2.5 mg;tabletti;Orion Corporation;C07AB07;bisoprololi;1;G;0;28520;
0081;002087;100;R;Orloc;5 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;C07AB07;bisoprololi;1;G;0;15606;
0081;002104;30;R;Orloc;5 mg;tabletti, kalvop‰‰llysteinen;Orion Corporation;C07AB07;bisoprololi;1;G;0;15606;
0081;005233;28;R;Bisoprolol Ratiopharm;5 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;15812;
0081;016928;30;R;Emconcor Chf;5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;14534;
0081;016939;100;R;Emconcor Chf;5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;14534;
0081;040148;98;R;Bisoprolol Ratiopharm;5 mg;tabletti;ratiopharm GmbH;C07AB07;bisoprololi;1;G;0;15812;
0081;052820;100;R;Bisoprolol Sandoz;5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24925;
0081;069102;250;R;Bisoprolol Sandoz;5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24925;
0081;186509;100;R;Bisoprolol Sandoz;5 mg;tabletti, kalvop‰‰llysteinen;Sandoz A/S;C07AB07;bisoprololi;1;G;0;24925;
0081;390947;100;R;Bisoprolol Krka;5 mg;tabletti, kalvop‰‰llysteinen;KRKA Sverige AB;C07AB07;bisoprololi;1;G;0;31172;
0081;437165;30;R;Bisoproact;5 mg;tabletti;SanoSwiss UAB;C07AB07;bisoprololi;1;G;0;24807;
0081;454426;30;R;Bisoprolol Vitabalans;5 mg;tabletti;Vitabalans Oy;C07AB07;bisoprololi;1;G;0;22669;
0081;474254;30;R;Emconcor;5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;10190;
0081;474403;100;R;Emconcor;5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07AB07;bisoprololi;1;A;0;10190;
0081;484777;30;R;Bisoprolol Accord;5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;1;G;0;33420;
0081;517846;100;R;Bisoprolol Vitabalans;5 mg;tabletti;Vitabalans Oy;C07AB07;bisoprololi;1;G;0;22669;
0081;522479;100;R;Bisoproact;5 mg;tabletti;SanoSwiss UAB;C07AB07;bisoprololi;1;G;0;24807;
0081;578692;30;R;Bisoprolol Krka;5 mg;tabletti, kalvop‰‰llysteinen;KRKA Sverige AB;C07AB07;bisoprololi;1;G;0;31172;
0081;584173;100;R;Bisoprolol Accord;5 mg;tabletti, kalvop‰‰llysteinen;Accord Healthcare B.V.;C07AB07;bisoprololi;1;G;0;33420;
0084;018431;100 x 1;R;Carvedilol STADA;12.5 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;1;G;0;16714;
0084;108764;100;R;Carvedilol Hexal;12.5 mg;tabletti;Hexal A/S;C07AG02;karvediloli;1;G;0;17070;
0084;136483;28;R;Carvedilol STADA;12.5 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;0;G;0;16714;
0084;380758;100;R;Cardiol;12.5 mg;tabletti;Cheplapharm Arzneimittel GmbH;C07AG02;karvediloli;1;A;0;11868;
0084;402570;100;R;Carvedilol Orion;12.5 mg;tabletti, kalvop‰‰llysteinen;Aurobindo Pharma (Malta) Ltd;C07AG02;karvediloli;1;G;0;30433;
0084;464226;100;R;Carveratio;12.5 mg;tabletti;ratiopharm GmbH;C07AG02;karvediloli;1;G;0;25241;
0085;018442;100 x 1;R;Carvedilol STADA;25 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;1;G;0;16715;
0085;023488;28;R;Carvedilol STADA;25 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;0;G;0;16715;
0085;167772;100;R;Carvedilol Hexal;25 mg;tabletti;Hexal A/S;C07AG02;karvediloli;1;G;0;17071;
0085;428706;30;R;Cardiol;25 mg;tabletti;Cheplapharm Arzneimittel GmbH;C07AG02;karvediloli;0;A;0;11017;
0085;428714;100;R;Cardiol;25 mg;tabletti;Cheplapharm Arzneimittel GmbH;C07AG02;karvediloli;1;A;0;11017;
0085;447596;100;R;Carveratio;25 mg;tabletti;ratiopharm GmbH;C07AG02;karvediloli;1;G;0;25242;
0085;540587;100;R;Carvedilol Orion;25 mg;tabletti, kalvop‰‰llysteinen;Aurobindo Pharma (Malta) Ltd;C07AG02;karvediloli;1;G;0;30434;
0088;018420;100 x 1;R;Carvedilol STADA;6.25 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;1;G;0;16713;
0088;142615;100;R;Carveratio;6.25 mg;tabletti;ratiopharm GmbH;C07AG02;karvediloli;1;G;0;25240;
0088;395932;30 x 1;R;Carvedilol STADA;6.25 mg;tabletti;STADA Arzneimittel AG;C07AG02;karvediloli;1;G;0;16713;
0088;443882;30;R;Carvedilol Orion;6.25 mg;tabletti, kalvop‰‰llysteinen;Aurobindo Pharma (Malta) Ltd;C07AG02;karvediloli;0;G;0;30432;
0088;599585;100;R;Carvedilol Orion;6.25 mg;tabletti, kalvop‰‰llysteinen;Aurobindo Pharma (Malta) Ltd;C07AG02;karvediloli;0;G;0;30432;
0090;009918;100;R;Bisoprolol Comp Ratiopharm;10 mg / 25 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07BB07;bisoprololi ja tiatsidit;1;G;0;16299;
0090;067173;30;R;Emconcor Comp;10 mg / 25 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07BB07;bisoprololi ja tiatsidit;0;A;0;12099;
0090;067181;100;R;Emconcor Comp;10 mg / 25 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07BB07;bisoprololi ja tiatsidit;1;A;0;12099;
0091;010128;100;R;Bisoprolol Comp Ratiopharm;5 mg / 12.5 mg;tabletti, kalvop‰‰llysteinen;ratiopharm GmbH;C07BB07;bisoprololi ja tiatsidit;1;G;0;16298;
0091;067199;30;R;Emconcor Comp;5 mg / 12.5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07BB07;bisoprololi ja tiatsidit;1;A;0;12098;
0091;067686;100;R;Emconcor Comp;5 mg / 12.5 mg;tabletti, kalvop‰‰llysteinen;MERCK OY;C07BB07;bisoprololi ja tiatsidit;1;A;0;12098;
0095;000051;100;R;Enalapril-Ratiopharm;10 mg;tabletti;ratiopharm GmbH;C09AA02;enalapriili;1;G;0;15514;
0095;000096;30;R;Enalapril-Ratiopharm;10 mg;tabletti;ratiopharm GmbH;C09AA02;enalapriili;1;G;0;15514;
0095;023641;100 x 1;R;Enalapril Krka;10 mg;tabletti;KRKA Sverige AB;C09AA02;enalapriili;1;G;0;20323;
0095;023710;30;R;Enalapril Krka;10 mg;tabletti;KRKA Sverige AB;C09AA02;enalapriili;1;G;0;20323;
0095;088306;30;R;Enalapril Vitabalans;10 mg;tabletti;Vitabalans Oy;C09AA02;enalapriili;1;G;0;21834;
0095;088315;100;R;Enalapril Vitabalans;10 mg;tabletti;Vitabalans Oy;C09AA02;enalapriili;1;G;0;21834;
0095;416753;250;R;Linatilsan;10 mg;tabletti;Sandoz GmbH;C09AA02;enalapriili;1;G;0;15192;
0095;454268;100;R;Linatilsan;10 mg;tabletti;Sandoz GmbH;C09AA02;enalapriili;1;G;0;15192;
0095;498529;100;R;Enalapril Orion;10 mg;tabletti;Orion Corporation;C09AA02;enalapriili;1;G;0;28689;
0095;589028;100;R;Linatil;10 mg;tabletti;Hexal A/S;C09AA02;enalapriili;1;G;0;11063;
0097;000097;100;R;Enalapril-Ratiopharm;20 mg;tabletti;ratiopharm GmbH;C09AA02;enalapriili;1;G;0;15515;
0097;000108;30;R;Enalapril-Ratiopharm;20 mg;tabletti;ratiopharm GmbH;C09AA02;enalapriili;1;G;0;15515;
0097;023649;100 x 1;R;Enalapril Krka;20 mg;tabletti;KRKA Sverige AB;C09AA02;enalapriili;1;G;0;20324;
0097;023650;30;R;Enalapril Krka;20 mg;tabletti;KRKA Sverige AB;C09AA02;enalapriili;1;G;0;20324;
0097;088324;30;R;Enalapril Vitabalans;20 mg;tabletti;Vitabalans Oy;C09AA02;enalapriili;1;G;0;21835;
0097;088333;100;R;Enalapril Vitabalans;20 mg;tabletti;Vitabalans Oy;C09AA02;enalapriili;1;G;0;21835;
0097;091686;98;R;Renitec;20 mg;tabletti;N.V. Organon;C09AA02;enalapriili;1;A;0;9146;
0097;092786;250;R;Linatilsan;20 mg;tabletti;Sandoz GmbH;C09AA02;enalapriili;1;G;0;15193;
0097;113780;100;R;Enalapril Orion;20 mg;tabletti;Orion Corporation;C09AA02;enalapriili;1;G;0;28690;
0097;475052;100;R;Linatilsan;20 mg;tabletti;Sandoz GmbH;C09AA02;enalapriili;1;G;0;15193;
